---
Bogennummer: '21178'
Ort: Uetze
Gid: 116481
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Hans-Ulrich Henheik
Anmerkungen: 'Um die Lesbarkeit des transliterierten Textes zu erleichtern, wurde
  das Lang-S der Vorlage als einfaches S wiedergegeben (statt mit dem orthografisch
  korrekteren "ſ"). Damit der Unterschied zum End-S der Vorlage trotzdem erkennbar
  blieb, wurde dieses mit einem Ogonek " ̨" gekennzeichnet. Alle weiteren Diakritika
  entsprechen der Vorlage.

  Der Bogen wurde vom Lehrer selbst ausgefüllt, was kein Problem darstellt, wenn er
  aus dem selben Ort stammt. Jedoch ergeben sich aus Vergleichen sowohl mit den Wenkerbögen
  der Nachbarorte als auch mit späteren niederdeutschen Schriftzeugnissen aus Uetze
  selbst (vor allem von Ernst Hübke: "Dat was et", 2004) deutliche Abweichungen, die
  noch über das in der Transliteration der Wenker-Sätze bereits angemerkte hinausgehen.
  Einzelne hochdeutsche Worte bzw. Wortformen wie "im" (WS1), "und" (WS7, WS23, WS24,
  WS37, WS38), "am meisten" (WS15) und "Mutter" (WS17) tauchen jedoch auch in den
  Wenkerbögen der Nachbarorte auf.

  Heinrich Lütkemann schreibt über den Lehrer in seiner Chronik "Uetze", Hannover
  ²1898, S. 46: "Schul Meister an der 1. Schule [in Uetze]: … 1874-1887  Ernst Adolf
  Otto Drafehn, geb. 11. Februar 1844 zu Uetze, gebildet semin. 1863-1864 in Lüneburg
  …". Neben der schon durch die zu übertragenden Sätze gegebene Beeinflussung durch
  das Hochdeutsche kommt hier wohl noch die durch den Dialekt der Stadt Lüneburg hinzu,
  für den Eduard Kück in seinem "Lüneburger Wörterbuch", Bd. 3 (Neumünster 1967) auf
  Spalte 100 eben jene mit "s-" (statt "sch-") anlautenden Formen des Verbs (hochdeutsch)
  "sollen" anführt.'
Original Anmerkungen: 'Auf der Rückseite bzw. Seite B:

  Frage 2 (Lautet in dem in Ihrer Schulgemeinde ortsüblichen Dialekte das g im Anfang
  der Wörter …) ist ergänzt "wie g"

  Frage 3 (Ist ein deutlicher Unterschied zwischen dem g in Angel, Augen, fragen und
  dem g in Kegel, kriegen, biegen, zeigen …) ist ergänzt "sämmtlich gleich"

  Frage 4 (Lautet st, sp in den mundartlichen Wörtern für Stall, stellen, sprechen,
  Spiel etc. wie scht-, schp- oder wie ßt-, ßp-?): beide Alternativen sind durchgestrichen!
  {Wahrscheinlich kannte E.A.O. Drafehn nur die zweite Variante, wie sie bei den ältesten
  Menschen dieser Gegend immer noch zu hören ist.}'
Erstelldatum: 2023-04-16 14:08:12.275390
Änderungsdatum: 2023-04-28 16:53:08.186493
Satzversion: 1
...
WS1	Im Winter fleiget dei drögen Blär dorch de Luft herum
WS27	"Künnt jie nich noch 'n Ogenblick upp üsch täuwen, denn gaht wi mit jüch. {wohl verschrieben für ""jück"", so auch in Satz 31 und später in Uetze regelmäßig}"
WS28	Jih dröwet nich saune Kinderin drīwen.
WS29	Use Barge sünd nich sehr hoch, juhe Barge sünd vehl höger.
WS30	"Wo veel Pund Wŏst un wo veel Pund Brot wüllt jih hĕ[b’m]. {Bereich durchgestrichen/überschrieben, eventuell vorher ""hewwen""}"
WS31	Ick verstahe jück nich, jih mȫt ’n betten luer spräken.
WS32	Hewt jih kein Stückchen Seepe upp minen Disch e’ funnen.
WS33	"Sien Brauder {in den meisten Nachbarorten zeitgleich ""Brauer""} well sick twei nie Hüser in juhen Gāren buen."
WS34	"Dat Wort kamm ühm {Endung auf -m in der Umgebung und (später) in Uetze unüblich, stets ""öhn"" oder ""ühn"" } von Hart’n."
WS35	"Dat was̨ recht van öhn. {nicht eindeutiges Personalpronomen (Einzahl oder Mehrzahl bzw. Höflichkeitsform?), Nachbarorte bieten ""öhnen"" etc. als Plural-, ""jück"" und ""sei"" als Höflichkeitsformen}"
WS36	"Wat sit't da vor Vogels̨ ŏben {in der Umgebung und (später) in Uetze unüblich, dafür stets ""boben"" etc.}  upp de Muer."
WS37	De Buren harr’n fief Ossen un negen Keuhe und twölf Schäpken vor dat Dorp bröcht, dei wollen sei verköpen.
WS38	"Dei Lüe sünd hüte alle buten upp dem {""-m"" in der Umgebung und (später) in Uetze unüblich, stets ""up(p) den"" bzw. ""uppen"" } Felle und meiheten. {unerklärliche Endung auf -en)"
WS39	Gāh’ man, dei brune Hund dauht dick nicks̨.
WS40	Ick bin mit den Lüen da hinnen ober dei Wische in’t Kōrn feuhrt. {hier fehlt – wie auch in den Sätzen 4-6, 8, 9 (wësen), 15, 19, 20, 24, 25 und 37 – die sonst übliche Vorsilbe e- des Partizips II}
